,ID,Drug,Resistant,Lineage
80170,66,pas,0,1.2.2.2
80300,47,pas,0,1.2.2.2
80326,58,pas,0,1.2.2.2
80560,49,pas,0,1.2.2.2
80573,57,pas,0,1.2.2.2
105494,TB-111-17700-19_S33_R.all,pas,0,"2,4.8"
57459,Test1451,pas,0,2.1
57719,Test1455,pas,0,2.1
62880,1733.9005_res,pas,0,2.1
82055,KP234,pas,0,2.1
92390,Test1067,pas,0,2.1
66195,X935_ano_flt,pas,0,2.2
34839,1408925.4_sus,pas,0,"2.2,3"
51648,TB-111-12030-18_S138_R.all,pas,0,"2.2,4.8"
95679,TB-MoldovaSeq-DNA063-1115_S63_ndc,pas,0,"2.2,4.8"
1130,Serialsamples.XD00998454.dedup_reads.bam.indelqualed_reads.bam.vars,pas,0,2.2.1
1208,Serialsamples.XD00946217.dedup_reads.bam.indelqualed_reads.bam.vars,pas,0,2.2.1
1247,Serialsamples.XD00944188.dedup_reads.bam.indelqualed_reads.bam.vars,pas,0,2.2.1
1273,Serialsamples.XD00922398.dedup_reads.bam.indelqualed_reads.bam.vars,pas,0,2.2.1
1286,Serialsamples.XD00934751.dedup_reads.bam.indelqualed_reads.bam.vars,pas,0,2.2.1
1299,Serialsamples.XD00481853.dedup_reads.bam.indelqualed_reads.bam.vars,pas,0,2.2.1
1442,Serialsamples.XD00428048.dedup_reads.bam.indelqualed_reads.bam.vars,pas,0,2.2.1
1468,Serialsamples.XD00912003.dedup_reads.bam.indelqualed_reads.bam.vars,pas,0,2.2.1
1624,1773.18427_sus,pas,0,2.2.1
1650,1773.20483_sus,pas,0,2.2.1
1741,1773.18531_sus,pas,0,2.2.1
1806,1773.18495_sus,pas,0,2.2.1
1832,1773.20452_sus,pas,0,2.2.1
2235,1773.18209_sus,pas,0,2.2.1
2417,1773.20514_sus,pas,0,2.2.1
2430,1417010.3_sus,pas,0,2.2.1
2469,1773.18458_sus,pas,0,2.2.1
2495,1400934.4_sus,pas,0,2.2.1
2664,1408950.4_sus,pas,0,2.2.1
2742,1773.18503_sus,pas,0,2.2.1
2807,1400936.3_sus,pas,0,2.2.1
2898,1773.18219_sus,pas,0,2.2.1
3067,1773.20504_sus,pas,0,2.2.1
3093,1438867.3_sus,pas,0,2.2.1
3145,1773.18440_sus,pas,0,2.2.1
6512,ERR553169,pas,0,2.2.1
6525,ERR552215,pas,0,2.2.1
6629,1773.18248_res,pas,0,2.2.1
6668,1773.18237_res,pas,0,2.2.1
6876,1773.18250_res,pas,0,2.2.1
6941,1773.18265_res,pas,0,2.2.1
6980,1773.18285_res,pas,0,2.2.1
7396,1773.18261_res,pas,0,2.2.1
7526,1773.18275_res,pas,0,2.2.1
7617,1773.18255_res,pas,0,2.2.1
7643,1773.18245_res,pas,0,2.2.1
7786,1773.18460_res,pas,0,2.2.1
7799,1773.18253_res,pas,0,2.2.1
7864,1773.18268_res,pas,0,2.2.1
8007,1773.18560_res,pas,0,2.2.1
